name,created_at,pull_requests,releases,updated_at,language,total_issues,closed_issues,repo_age_years,days_since_update,closed_issue_percentage
freeCodeCamp/freeCodeCamp,2014-12-24 17:49:19,39272,0,2025-03-02 00:22:04,TypeScript,18976,18790,10.191780821917808,-1,99.01981450252951
EbookFoundation/free-programming-books,2013-10-11 06:50:37,10449,0,2025-03-01 23:06:00,HTML,1162,1132,11.394520547945206,-1,97.41824440619621
sindresorhus/awesome,2014-07-11 13:42:37,2105,0,2025-03-02 01:05:47,Unknown,347,335,10.646575342465754,-1,96.54178674351584
codecrafters-io/build-your-own-x,2018-05-09 12:03:18,436,0,2025-03-02 01:08:47,Markdown,734,542,6.816438356164384,-1,73.84196185286103
public-apis/public-apis,2016-03-20 23:49:42,3357,0,2025-03-02 01:03:47,Python,654,603,8.95068493150685,-1,92.20183486238533
jwasham/coding-interview-university,2016-06-06 02:34:12,1012,0,2025-03-01 23:20:00,Unknown,511,458,8.73972602739726,-1,89.62818003913894
kamranahmedse/developer-roadmap,2017-03-15 13:45:52,4898,1,2025-03-01 23:06:17,TypeScript,2678,2529,7.967123287671233,-1,94.43614637789395
donnemartin/system-design-primer,2017-02-26 16:15:28,572,0,2025-03-02 01:02:39,Python,322,87,8.013698630136986,-1,27.018633540372672
996icu/996.ICU,2019-03-26 07:31:14,1986,0,2025-03-01 18:22:59,Unknown,0,0,5.936986301369863,0,0.0
vinta/awesome-python,2014-06-27 21:00:06,1973,0,2025-03-02 00:55:28,Python,0,0,10.684931506849315,-1,0.0
facebook/react,2013-05-24 16:15:54,16898,103,2025-03-02 01:08:35,JavaScript,13549,12777,11.778082191780822,-1,94.30216252121927
practical-tutorials/project-based-learning,2017-04-12 05:07:46,445,0,2025-03-02 00:52:50,Unknown,191,78,7.890410958904109,-1,40.83769633507853
awesome-selfhosted/awesome-selfhosted,2015-06-01 02:33:17,3036,1,2025-03-02 00:52:24,Unknown,803,803,9.756164383561643,-1,100.0
vuejs/vue,2013-07-29 03:24:51,2564,249,2025-03-01 19:08:47,TypeScript,10022,9665,11.597260273972603,0,96.43783675912991
TheAlgorithms/Python,2016-07-16 09:44:01,10432,0,2025-03-01 23:25:47,Python,1556,1492,8.63013698630137,-1,95.88688946015425
trekhleb/javascript-algorithms,2018-03-24 07:47:04,772,0,2025-03-02 00:51:32,JavaScript,357,227,6.942465753424657,-1,63.58543417366946
torvalds/linux,2011-09-04 22:48:12,1062,0,2025-03-02 00:52:41,C,0,0,13.495890410958904,-1,0.0
tensorflow/tensorflow,2015-11-07 01:19:20,46138,214,2025-03-01 23:46:15,C++,40273,39486,9.32054794520548,-1,98.04583716137363
getify/You-Dont-Know-JS,2013-11-16 02:37:24,891,0,2025-03-01 23:42:17,Unknown,936,855,11.295890410958904,-1,91.34615384615384
CyC2018/CS-Notes,2018-02-13 14:56:24,619,0,2025-03-01 22:47:02,Unknown,596,448,7.049315068493151,-1,75.16778523489933
ohmyzsh/ohmyzsh,2009-08-28 18:15:37,7529,0,2025-03-01 23:59:09,Shell,4896,4763,15.517808219178082,-1,97.28349673202614
