name,created_at,pull_requests,releases,updated_at,language,total_issues,closed_issues
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,39272,0,2025-03-02T00:22:04Z,TypeScript,18976,18790
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,10449,0,2025-03-01T23:06:00Z,HTML,1162,1132
sindresorhus/awesome,2014-07-11T13:42:37Z,2105,0,2025-03-02T01:05:47Z,Unknown,347,335
codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,436,0,2025-03-02T01:08:47Z,Markdown,734,542
public-apis/public-apis,2016-03-20T23:49:42Z,3357,0,2025-03-02T01:03:47Z,Python,654,603
jwasham/coding-interview-university,2016-06-06T02:34:12Z,1012,0,2025-03-01T23:20:00Z,Unknown,511,458
kamranahmedse/developer-roadmap,2017-03-15T13:45:52Z,4898,1,2025-03-01T23:06:17Z,TypeScript,2678,2529
donnemartin/system-design-primer,2017-02-26T16:15:28Z,572,0,2025-03-02T01:02:39Z,Python,322,87
996icu/996.ICU,2019-03-26T07:31:14Z,1986,0,2025-03-01T18:22:59Z,Unknown,0,0
vinta/awesome-python,2014-06-27T21:00:06Z,1973,0,2025-03-02T00:55:28Z,Python,0,0
facebook/react,2013-05-24T16:15:54Z,16898,103,2025-03-02T01:08:35Z,JavaScript,13549,12777
practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,445,0,2025-03-02T00:52:50Z,Unknown,191,78
awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,3036,1,2025-03-02T00:52:24Z,Unknown,803,803
vuejs/vue,2013-07-29T03:24:51Z,2564,249,2025-03-01T19:08:47Z,TypeScript,10022,9665
TheAlgorithms/Python,2016-07-16T09:44:01Z,10432,0,2025-03-01T23:25:47Z,Python,1556,1492
trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,772,0,2025-03-02T00:51:32Z,JavaScript,357,227
torvalds/linux,2011-09-04T22:48:12Z,1062,0,2025-03-02T00:52:41Z,C,0,0
tensorflow/tensorflow,2015-11-07T01:19:20Z,46138,214,2025-03-01T23:46:15Z,C++,40273,39486
getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,891,0,2025-03-01T23:42:17Z,Unknown,936,855
CyC2018/CS-Notes,2018-02-13T14:56:24Z,619,0,2025-03-01T22:47:02Z,Unknown,596,448
ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,7529,0,2025-03-01T23:59:09Z,Shell,4896,4763
